#{"source_key": "HNO", "source_url": "https://www.humanitarianresponse.info/", "source_date": "2017", "extract_date": "2017-06-01", "update_frequency": "Every year", "additional_metadata": {"Note on data": "Extracted from a variety of 2017 UNOCHA publications including Humanitarian Needs Overviews, Response Plans, Flash Appeals, Needs and Priorites, and Humanitarian Requirements Documents."}}
Metric,Source Type,File Type,Notes,Afghanistan 2017,Burkina Faso 2017,Burundi 2017,Cameroon 2017,Central African Republic 2017,Chad 2017,DPR Korea Needs and Priorities 2017,Democratic Republic of the Congo 2017,DRC Kasai Flash Appeal,Djibouti 2017,Ethiopia 2017,Haiti 2017,Iraq 2017,Kenya Flash Appeal 2017,Libya 2017,Madagascar Flash Appeal 2017,Madagascar Grand Sud 2016-2017,Mali 2017,Mauritania 2017,Mozambique Cyclone Dineo Flash Appeal 2017,Myanmar 2017,Niger 2017,Nigeria 2017,Nigeria northeast 2017,Peru Flash Appeal 2017,Republic of South Sudan 2017,Senegal 2017,Somalia 2017,Sudan 2017,Syria 2017,Syria regional refugee and resilience plan (3RP) 2017,Ukraine Humanitarian Needs Overview 2017,Yemen 2017,occupied Palestinian territory 2017
People in need - Multisectoral/Refugee groups,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,"46,000",,,,,,,,,,,,,,,
People in need - Early recovery,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,"465,000",,,,,,,,,,,,,,,
People in need - Under 5 and Pregnant and Lactating Women projected MAM cases,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"2,700,000",,,,,,,,,,,,,,,,,,,,,,,
People in need - Projected SAM cases,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"300,000",,,,,,,,,,,,,,,,,,,,,,,
Households in need - Livestock support,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"1,900,000",,,,,,,,,,,,,,,,,,,,,,,
Households in need - Seeds support,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"500,000",,,,,,,,,,,,,,,,,,,,,,,
Households in need - Shelter and household NFIs,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"600,000",,,,,,,,,,,,,,,,,,,,,,,
Children <5 in urgent need of nutrition (projected to suffer from severe acute malnutrition),OTHER,pdf,,,,,,,,,,,,,,,,,,,,,,,,,"450,000",,,,,,,,,,
People targeted (total),OTHER,pdf,further data disaggregation available (other),,"477,872",,,,,,,,,"5,600,000 ",,,,,,,,"416,000",,,,,"6,900,000",,,,,,,,,,
People targeted - Emergency shelter and NFIs,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"600,000",,,,,,,,,,,,,,,,,,,,,,,
People targeted - WASH,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"9,200,000",,,,,,,,"250,000",,,,,,,,,,,,,,,
People targeted - Education,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"2,000,000",,,,,,,,,,,,,,,,,,,,,,,
People targeted - Nutrition,OTHER,pdf ,further data disaggregation available (other),,"477,000",,,,,,,,,"3,000,000",,,,,,,,"147,000",,,,,,,,,,,,,,,
People targeted - Nutrition supplies (MAM),OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"2,700,000",,,,,,,,,,,,,,,,,,,,,,,
People targeted - Nutrition (SAM),OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"300,000",,,,,,,,,,,,,,,,,,,,,,,
People targeted - Population movements,OTHER,pdf,further data disaggregation available (other),,"32,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Emergency preparedness,OTHER,pdf,further data disaggregation available (other),,"57,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Protection,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"590,000",,,,,,,,"80,000",,,,,,,,,,,,,,,
People targeted - Health,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"4,370,000",,,,,,,,"203,000",,,,,,,,,,,,,,,
People targeted - Food security,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,"370,000",,,,,,,,,,,,,,,
People targeted - Multisectoral/Refugee groups,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,"46,000",,,,,,,,,,,,,,,
People targeted - Early recovery,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,"100,000",,,,,,,,,,,,,,,
People targeted - Food ,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"5,600,000",,,,,,,,,,,,,,,,,,,,,,,
People targeted - Food security,OTHER,pdf,further data disaggregation available (other),,"153,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People targeted - Agriculture (HH),OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"1,900,000",,,,,,,,,,,,,,,,,,,,,,,
People targeted - School feeding,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"2,000,000",,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - total,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,"74,500,000",,,,,,,,,,,,,,,
Budget (US$) - WASH,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,"5,000,000",,,,,,,,,,,,,,,
Budget (US$) - Early recovery,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,"3,400,000",,,,,,,,,,,,,,,
Budget (US$) - Nutrition,OTHER,pdf,further data disaggregation available (other),,"30,400,000",,,,,,,,,,,,,,,,,"9,500,000",,,,,,,,,,,,,,,
Budget (US$) - Population movements,OTHER,pdf,,,"12,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - Emergency preparedness,OTHER,pdf,further data disaggregation available (other),,"6,860,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget (US$) - Protection,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,"221,500",,,,,,,,,,,,,,,
Budget (US$) - Food security,OTHER,pdf,further data disaggregation available (other),,"11,500,000",,,,,,,,,,,,,,,,,"14,900,000",,,,,,,,,,,,,,,
Budget (US$) - Health,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,"3,100,000",,,,,,,,,,,,,,,
Budget (US$) - Multisectoral/refugee groups,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,"35,500,000",,,,,,,,,,,,,,,
Requirements (US$) (total),OTHER,pdf,further data disaggregation available (other),,"61,000,000",,,,,,,,,"948,000,000",,,,,,,,,,,,,"1,054,000,000",,,,,,,,,,
Requirements (US$) - Emergency Shelter and NFIs,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"17,200,000",,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Food ,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"598,000,000",,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Food security,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Nutrition,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"105,600,000",,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Health,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"42,800,000",,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - WASH,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"86,400,000",,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Education,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"45,500,000",,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Protection,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"11,100,000",,,,,,,,,,,,,,,,,,,,,,,
Requirements (US$) - Agriculture,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"41,900,000",,,,,,,,,,,,,,,,,,,,,,,
Available resources (US$) (total),OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"233,000,000",,,,,,,,,,,,,,,,,,,,,,,
Available resources (US$) - Non-food sub-total,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"50,900,000",,,,,,,,,,,,,,,,,,,,,,,
Available resources (US$) - Food,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"183,000,000",,,,,,,,,,,,,,,,,,,,,,,
Available resources (US$) - Nutrition,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"46,000,000",,,,,,,,,,,,,,,,,,,,,,,
Available resources (US$) - Agriculture,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"500,000",,,,,,,,,,,,,,,,,,,,,,,
Available resources (US$) - Protection,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"1,600,000",,,,,,,,,,,,,,,,,,,,,,,
Available resources (US$) - Emergency shelter and NFIs,OTHER,pdf,further data disaggregation available (other),,,,,,,,,,,"1,800,000",,,,,,,,,,,,,,,,,,,,,,,
Severely Malnourished Children,,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
